Type,Count,Allocated(MB),Resident(MB)
"UnityEngine.Rendering.DynamicArray.SortComparer<UnityEngine.Rendering.ProbeReferenceVolume.Cell>",2,0.000,0.000
"UnityEngine.Rendering.PerformDynamicRes",2,0.000,0.000
"UnityEngine.Events.UnityAction<Meta.XR.MRUtilityKit.MRUKRoom>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Object>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.String>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.String>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Int64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Double>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Single>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.UInt64>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.UInt32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.UInt16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Byte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Int32>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Int16>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Boolean>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Char>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.SByte>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.String>",2,0.000,0.000
"Unity.Properties.TypeConverter<System.String,System.Int32>",2,0.000,0.000
"System.Action<System.UInt64,OVRSpatialAnchor.OperationResult>",2,0.000,0.000
"UnityEngine.InputSystem.Layouts.InputDeviceFindControlLayoutDelegate",2,0.000,0.000
"UnityEngine.Events.UnityAction<System.Int32>",2,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<System.Guid,UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.MessageTypeSubscribers>[]",1,0.000,0.000
"UnityEngine.AnimationCurve",8,0.000,0.000
"UnityEngine.Rendering.Universal.MotionVectorRenderPass",1,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,System.Action>",3,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,System.Exception>",3,0.000,0.000
"System.Collections.Generic.Dictionary<System.Guid,System.Action<System.Guid>>",3,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.ShaderTagId>",6,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.Rendering.Universal.URPProfileId,UnityEngine.Rendering.DebugDisplayStats.AccumulatedTiming<UnityEngine.Rendering.Universal.URPProfileId>>",3,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DepthOnlyPass",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScreenSpaceAmbientOcclusionPass.ShaderPasses[]",6,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,UnityEngine.Rendering.RTHandle[]>",3,0.000,0.000
"UnityEngine.Experimental.Rendering.XRLayout[]",4,0.000,0.000
"OVRInput.OpenVRControllerDetails[]",1,0.000,0.000
"System.Runtime.CompilerServices.Ephemeron[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.LiftGammaGain",3,0.000,0.000
"UnityEngine.Rendering.Universal.SplitToning",3,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.ColorGradingLutPass",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraph",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.CopyDepthPass.PassData",4,0.000,0.000
"UnityEngine.Rendering.Universal.HDRDebugViewPass",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKRoom",1,0.000,0.000
"System.Collections.Generic.HashSet<System.Guid>",3,0.000,0.000
"UnityEngine.Rendering.DynamicResolutionHandler",1,0.000,0.000
"System.Net.Sockets.Socket.Int32TaskSocketAsyncEventArgs",1,0.000,0.000
"System.Net.Sockets.Socket.TaskSocketAsyncEventArgs<System.Net.Sockets.Socket>",1,0.000,0.000
"System.Globalization.TextInfo",3,0.000,0.000
"UnityEngine.Rendering.Universal.PaniniProjection",3,0.000,0.000
"UnityEngine.Rendering.Universal.WhiteBalance",3,0.000,0.000
"UnityEngine.Rendering.Universal.ColorLookup",3,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.FinalBlitPass",1,0.000,0.000
"UnityEngine.Rendering.RenderTargetIdentifier[][]",2,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Camera>",5,0.000,0.000
"System.Collections.Generic.List<System.Boolean>",5,0.000,0.000
"UnityEngine.Rendering.Universal.XROcclusionMeshPass",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphDefaultResources",1,0.000,0.000
"UnityEngine.InputSystem.InputDevice[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.FloatParameter",6,0.000,0.000
"UnityEngine.XR.XRDisplaySubsystemDescriptor[]",4,0.000,0.000
"System.Collections.Generic.LinkedList<System.Action<System.Boolean,UnityEngine.Object>>",4,0.000,0.000
"UnityEngine.Networking.PlayerConnection.PlayerEditorConnectionEvents.ConnectionChangeEvent",4,0.000,0.000
"UnityEngine.Rendering.Universal.CapturePass",1,0.000,0.000
"UnityEngine.Rendering.Universal.TransparentSettingsPass",1,0.000,0.000
"System.Threading.CancellationTokenSource",3,0.000,0.000
"UnityEngine.Rendering.Universal.ChromaticAberration",3,0.000,0.000
"System.Int64[]",3,0.000,0.000
"UnityEngine.Rendering.Universal.InvokeOnRenderObjectCallbackPass",1,0.000,0.000
"UnityEngine.Rendering.Universal.DrawSkyboxPass",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalShadowData",1,0.000,0.000
"UnityEngine.Color[]",2,0.000,0.000
"UnityEngine.GameObject[]",3,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineGlobalSettings",1,0.000,0.000
"OVRMixedRealityCaptureSettings",1,0.000,0.000
"UnityEngine.InputSystem.XR.XRDeviceDescriptor",3,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphResourceRegistry.RenderGraphResourcesData",3,0.000,0.000
"UnityEngine.Rendering.TProfilingSampler<UnityEngine.Rendering.RenderGraphModule.RenderGraphProfileId>",3,0.000,0.000
"System.Buffers.TlsOverPerCoreLockedStacksArrayPool.PerCoreLockedStacks<System.Int32>[]",1,0.000,0.000
"System.Collections.Generic.LowLevelDictionary.Entry<System.Int32,System.Threading.Tasks.Task>[]",1,0.000,0.000
"UnityEngine.Events.InvokableCall<UnityEngine.Networking.PlayerConnection.MessageEventArgs>",7,0.000,0.000
"System.Collections.Generic.Dictionary<System.Int32,System.Collections.Generic.SortedList<System.Int32,System.ValueTuple<UnityEngine.Rendering.RTHandle,System.Int32>>>",2,0.000,0.000
"System.Collections.Generic.Dictionary<System.String,System.Text.StringBuilder>",2,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.CopyColorPass.PassData",2,0.000,0.000
"UnityEngine.Rendering.DebugUI.Button",2,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action<UnityEngine.Object>,System.Collections.Generic.LinkedListNode<System.Action<UnityEngine.Object>>>",2,0.000,0.000
"System.Collections.Generic.Dictionary<System.Action,System.Collections.Generic.LinkedListNode<System.Action>>",2,0.000,0.000
"System.Collections.Generic.Dictionary<UnityEngine.UIElements.TypeConverterRegistry.ConverterKey,System.Delegate>",2,0.000,0.000
"System.Double[]",1,0.000,0.000
"System.LazyHelper",5,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Awaitable.AwaitableAndFrameIndex>",4,0.000,0.000
"OVRHeadsetEmulator",1,0.000,0.000
"System.Collections.Generic.List<System.Int32>[]",3,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.AdditionalLightsShadowCasterPass.PassData",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugHandler",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Layouts.InputControlLayout.Collection.PrecompiledLayout>[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.PostProcessData.ShaderResources",1,0.000,0.000
"UnityEngine.Rendering.DebugManager",1,0.000,0.000
"UnityEngine.Events.UnityEvent<Meta.XR.MRUtilityKit.MRUKAnchor>",3,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.PassData",3,0.000,0.000
"System.ValueTuple<UnityEngine.Rendering.RenderGraphModule.TextureHandle,System.Int32>[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>[]",2,0.000,0.000
