NameOfObject,Type,Allocated(MB),Resident(MB)
"COUCH","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"DOOR_FRAME","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"BED","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_ART","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"COUCH","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"DOOR_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"PLANT","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"PLANT","MeshRenderer",0.001,0.001
"PLANT","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"TABLE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WINDOW_FRAME","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"OTHER","MeshRenderer",0.001,0.001
"STORAGE","MeshRenderer",0.001,0.001
"WALL_FACE","MeshRenderer",0.001,0.001
"DOOR_FRAME","MeshRenderer",0.001,0.001
"Room - eec0d507-b293-a7b5-21cb-46ec078ee670","MonoBehaviour",0.001,0.001
"GraphicsSettings","GraphicsSettings",0.001,0.001
"LeftEyeAnchor","MonoBehaviour",0.001,0.001
"CenterEyeAnchor","MonoBehaviour",0.001,0.001
"","ScriptableObject",0.001,0.001
"","ScriptableObject",0.001,0.001
"SCREEN","MonoBehaviour",0.000,0.000
"WALL_ART","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"LAMP","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"STORAGE","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"LAMP","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"WALL_ART","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"WINDOW_FRAME","MonoBehaviour",0.000,0.000
"STORAGE","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"OTHER","MonoBehaviour",0.000,0.000
"DOOR_FRAME","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"TABLE","MonoBehaviour",0.000,0.000
"WALL_ART","MonoBehaviour",0.000,0.000
"GLOBAL_MESH","MonoBehaviour",0.000,0.000
"CEILING","MonoBehaviour",0.000,0.000
"WALL_FACE","MonoBehaviour",0.000,0.000
"WALL_FACE","MonoBehaviour",0.000,0.000
"WALL_FACE","MonoBehaviour",0.000,0.000
"SCREEN","MonoBehaviour",0.000,0.000
"WALL_FACE","MonoBehaviour",0.000,0.000
"FLOOR","MonoBehaviour",0.000,0.000
"","ScriptableObject",0.000,0.000
"LightmapSettings","LightmapSettings",0.000,0.000
"PC_Renderer","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"Bloom","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"Tonemapping","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"RenderSettings","RenderSettings",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"Vignette","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"[Debug Updater]","Transform",0.000,0.000
"EffectMesh","Transform",0.000,0.000
"MRUK","Transform",0.000,0.000
"Directional Light","Transform",0.000,0.000
"ImmersiveSceneDebugger","Transform",0.000,0.000
"InternalIdentityTransform","Transform",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"MotionBlur","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"[BuildingBlock] Passthrough","MonoBehaviour",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"OVRCameraRig","MonoBehaviour",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"","ScriptableObject",0.000,0.000
"AdditionalLightsShadowCasterPass","MonoScript",0.000,0.000
"RenderGraphResourceAccelerationStructure","MonoScript",0.000,0.000
"[Debug Updater]","MonoBehaviour",0.000,0.000
"SampleSceneProfile","ScriptableObject",0.000,0.000
"QualitySettings","QualitySettings",0.000,0.000
"IRenderGraphEnabledRenderPipeline","MonoScript",0.000,0.000
"Physics2DSettings","Physics2DSettings",0.000,0.000
"NativePassCompiler","MonoScript",0.000,0.000
"CompilerContextData","MonoScript",0.000,0.000
"ResourcesData","MonoScript",0.000,0.000
"NativePassCompiler.Debug","MonoScript",0.000,0.000
"PassesData","MonoScript",0.000,0.000
"AssemblyInfo","MonoScript",0.000,0.000
"UniversalRenderPipelineDebugDisplaySettings","MonoScript",0.000,0.000
"UniversalRenderPipelineVolumeDebugSettings","MonoScript",0.000,0.000
"UniversalRenderPipelineVolumeDebugSettings.deprecated","MonoScript",0.000,0.000
"UniversalRenderPipelineRuntimeXRResources","MonoScript",0.000,0.000
"DeferredLights","MonoScript",0.000,0.000
"CopyDepthPass","MonoScript",0.000,0.000
"DrawObjectsPass","MonoScript",0.000,0.000
"UniversalRenderPipelineDebugDisplayStats","MonoScript",0.000,0.000
"UTess","MonoScript",0.000,0.000
"Tessellator","MonoScript",0.000,0.000
"FinalBlitPass","MonoScript",0.000,0.000
"CopyColorPass","MonoScript",0.000,0.000
"DepthNormalOnlyPass","MonoScript",0.000,0.000
"ForwardLights","MonoScript",0.000,0.000
"MainLightShadowCasterPass","MonoScript",0.000,0.000
"RenderTargetBufferSystem","MonoScript",0.000,0.000
"ColorGradingLutPass","MonoScript",0.000,0.000
"NormalReconstruction","MonoScript",0.000,0.000
"DepthOnlyPass","MonoScript",0.000,0.000
"DeferredPass","MonoScript",0.000,0.000
"GBufferPass","MonoScript",0.000,0.000
"PlanarGraph","MonoScript",0.000,0.000
"RenderGraphUtilsResources","MonoScript",0.000,0.000
"ShadowShape2DProvider_SpriteRenderer","MonoScript",0.000,0.000
"RenderGraphUtilsBlit","MonoScript",0.000,0.000
"HardwareRayTracingAccelStruct","MonoScript",0.000,0.000
"IRayTracingShader","MonoScript",0.000,0.000
"GeometryPoolDefs","MonoScript",0.000,0.000
"GeometryPool","MonoScript",0.000,0.000
"ComputeRayTracingShader","MonoScript",0.000,0.000
"GraphicsHelpers","MonoScript",0.000,0.000
"BackendHelpers","MonoScript",0.000,0.000
"RayTracingResources","MonoScript",0.000,0.000
"BLASPositionsPool","MonoScript",0.000,0.000
"UniversalRenderPipelineEditorMaterials","MonoScript",0.000,0.000
"UniversalRenderPipelineRuntimeTextures","MonoScript",0.000,0.000
"TerrainToMesh","MonoScript",0.000,0.000
"TransformFeatureVectorDebugParentVisual","MonoScript",0.000,0.000
"RayTracingContext","MonoScript",0.000,0.000
"HardwareRayTracingBackend","MonoScript",0.000,0.000
"BlockAllocator","MonoScript",0.000,0.000
"AccelStructInstances","MonoScript",0.000,0.000
"ComputeRayTracingAccelStruct","MonoScript",0.000,0.000
"IRayTracingBackend","MonoScript",0.000,0.000
"Utils","MonoScript",0.000,0.000
"AccelStructAdapter","MonoScript",0.000,0.000
"UnifiedRayTracingException","MonoScript",0.000,0.000
"ComputeRayTracingBackend","MonoScript",0.000,0.000
"InstanceOcclusionCullerShaderVariables","MonoScript",0.000,0.000
"IRayTracingAccelStruct","MonoScript",0.000,0.000
"HardwareRayTracingShader","MonoScript",0.000,0.000
"OcclusionCullingCommonShaderVariables","MonoScript",0.000,0.000
"AudioPlayerLipSyncVisemeProvider","MonoScript",0.000,0.000
"IOnboardingSectionAnalyticsProvider","MonoScript",0.000,0.000
"FullScreenPassRendererFeature_OldGUID","MonoScript",0.000,0.000
"UniversalRenderPipelineRuntimeShaders","MonoScript",0.000,0.000
"UniversalRenderPipelineGlobalSettings","MonoScript",0.000,0.000
"UniversalRenderPipelineEditorShaders","MonoScript",0.000,0.000
"BodyPoseComparerActiveStateDebugVisual","MonoScript",0.000,0.000
"OcclusionCullingDebugShaderVariables","MonoScript",0.000,0.000
"UniversalRenderPipelineEditorAssets","MonoScript",0.000,0.000
"CinemachineUniversalPixelPerfect","MonoScript",0.000,0.000
"MatchNonDominantPalmWorldSpaceTransform","MonoScript",0.000,0.000
"UniversalRenderPipelineDebugShaders","MonoScript",0.000,0.000
"ShadowShape2DProvider_Collider","MonoScript",0.000,0.000
"RenderGraphDebugParams","MonoScript",0.000,0.000
"RenderGraphResourceRendererList","MonoScript",0.000,0.000
"RenderGraphBuilder","MonoScript",0.000,0.000
"RenderGraphObjectPool","MonoScript",0.000,0.000
"RenderGraphDefaultResources","MonoScript",0.000,0.000
"RenderGraph","MonoScript",0.000,0.000
"RenderGraphResourceTexture","MonoScript",0.000,0.000
"RenderPipelineGraphicsSettingsContainer","MonoScript",0.000,0.000
"RenderGraphResourceRegistry","MonoScript",0.000,0.000
"RenderGraph.DebugData","MonoScript",0.000,0.000
"RenderGraphLogger","MonoScript",0.000,0.000
"RenderGraphResources","MonoScript",0.000,0.000
"RenderGraphResourcePool","MonoScript",0.000,0.000
"RenderGraphPass","MonoScript",0.000,0.000
"RenderGraphBuilders","MonoScript",0.000,0.000
"IRenderGraphBuilder","MonoScript",0.000,0.000
"RenderGraph.Compiler","MonoScript",0.000,0.000
"IRenderGraphRecorder","MonoScript",0.000,0.000
"RenderGraphResourceBuffer","MonoScript",0.000,0.000
"RenderGraphGraphicsAutomatedTests","MonoScript",0.000,0.000
"RenderPipelineGraphicsSettingsStripperFetcher","MonoScript",0.000,0.000
"IVirtualTexturingEnabledRenderPipeline","MonoScript",0.000,0.000
"AdditionalLightsShadowAtlasLayout","MonoScript",0.000,0.000
"fsExceptions","MonoScript",0.000,0.000
"RenderPipelineGraphicsSettingsStripperReport","MonoScript",0.000,0.000
"RenderPipelineGraphicsSettingsStripper","MonoScript",0.000,0.000
"TransformFeatureVectorDebugVisual","MonoScript",0.000,0.000
"InvokeOnRenderObjectCallbackPass","MonoScript",0.000,0.000
"DistantInteractionLineRendererVisual","MonoScript",0.000,0.000
"Scan","MonoScript",0.000,0.000
"Common","MonoScript",0.000,0.000
"FingerFeatureSkeletalDebugVisual","MonoScript",0.000,0.000
"RadixSort","MonoScript",0.000,0.000
"BvhCheck","MonoScript",0.000,0.000
"HlbvhBuilder","MonoScript",0.000,0.000
"RestructureBvh","MonoScript",0.000,0.000
"StringIDs","MonoScript",0.000,0.000
"HlbvhTopLevelBuilder","MonoScript",0.000,0.000
"RadeonRaysAPI","MonoScript",0.000,0.000
"ProbeVolumeConstantRuntimeResources","MonoScript",0.000,0.000
"XRMirrorView","MonoScript",0.000,0.000
"XRLayoutStack","MonoScript",0.000,0.000
"Logger","MonoScript",0.000,0.000
"XRView","MonoScript",0.000,0.000
"ColliderContainsHandJointActiveState","MonoScript",0.000,0.000
"XRLayout","MonoScript",0.000,0.000
"XRPass","MonoScript",0.000,0.000
"Anchor","MonoScript",0.000,0.000
"AnchorDebugVisual","MonoScript",0.000,0.000
"Player","MonoScript",0.000,0.000
"XRBuiltinShaderConstants","MonoScript",0.000,0.000
"XROcclusionMesh","MonoScript",0.000,0.000
"XRSystem","MonoScript",0.000,0.000
"AlignCameraToAnchor","MonoScript",0.000,0.000
"ShareAndLocalizeParams","MonoScript",0.000,0.000
"NetworkAdapter","MonoScript",0.000,0.000
"INetworkMessenger","MonoScript",0.000,0.000
"NetworkDataUtils","MonoScript",0.000,0.000
"INetworkData","MonoScript",0.000,0.000
"AutomaticColocationLauncher","MonoScript",0.000,0.000
"SharedAnchorManager","MonoScript",0.000,0.000
"DistantInteractionPolylineVisual","MonoScript",0.000,0.000
"DebugUIHandlerRenderingLayerField","MonoScript",0.000,0.000
"RenderPipelineGlobalSettingsUtils","MonoScript",0.000,0.000
"IProbeVolumeEnabledRenderPipeline","MonoScript",0.000,0.000
"QueryEditorWindowCoordinatesCommand","MonoScript",0.000,0.000
"DebugUIHandlerIndirectFloatField","MonoScript",0.000,0.000
"StandaloneInputModuleEditor","MonoScript",0.000,0.000
"CameraOffset","MonoScript",0.000,0.000
"TransitionArmModel","MonoScript",0.000,0.000
"ProbeVolumeBakingProcessSettings","MonoScript",0.000,0.000
"SwingArmModel","MonoScript",0.000,0.000
"ArmModel","MonoScript",0.000,0.000
"InitiateUserAccountPairingCommand","MonoScript",0.000,0.000
"LocalMatchmaking","MonoScript",0.000,0.000
"ColocationSessionEventHandler","MonoScript",0.000,0.000
"ColocationController","MonoScript",0.000,0.000
"PlayerNameTagSpawner","MonoScript",0.000,0.000
"CustomMatchmaking","MonoScript",0.000,0.000
"IAvatarBehaviour","MonoScript",0.000,0.000
"TransferOwnershipOnSelect","MonoScript",0.000,0.000
"CustomMatchmakingUtils","MonoScript",0.000,0.000
"PlatformInit_","MonoScript",0.000,0.000
"NetworkBootstrapperUtils","MonoScript",0.000,0.000
"IAvatarStreamConfig","MonoScript",0.000,0.000
"FriendsMatchmaking","MonoScript",0.000,0.000
"UnityEvent_Converter","MonoScript",0.000,0.000
"DummyShaderGraphLibrary","MonoScript",0.000,0.000
"UnsafeNotBurstCompatible","MonoScript",0.000,0.000
"","MonoScript",0.000,0.000
"VoiceSDKPlatformLoggerImpl","MonoScript",0.000,0.000
"VoiceSDKConsoleLoggerImpl","MonoScript",0.000,0.000
"ParsedAssemblyQualifiedName","MonoScript",0.000,0.000
"VoiceSDKLoggerBinding","MonoScript",0.000,0.000
"VsdkProfiler","MonoScript",0.000,0.000
"UnityProfilerTraceProvider","MonoScript",0.000,0.000
"ITraceProvider","MonoScript",0.000,0.000
"InteractableController","MonoScript",0.000,0.000
"Icon","MonoScript",0.000,0.000
"OverlayCanvas","MonoScript",0.000,0.000
"Controller","MonoScript",0.000,0.000
"ButtonWithLabel","MonoScript",0.000,0.000
"Dropdown","MonoScript",0.000,0.000
"Button","MonoScript",0.000,0.000
"ButtonForAction","MonoScript",0.000,0.000
"ToggleWithLabel","MonoScript",0.000,0.000
"TextStyle","MonoScript",0.000,0.000
"Slider","MonoScript",0.000,0.000
"ToggleForGizmo","MonoScript",0.000,0.000
"Flex","MonoScript",0.000,0.000
"Image","MonoScript",0.000,0.000
"LayoutStyle","MonoScript",0.000,0.000
"ScrollViewport","MonoScript",0.000,0.000
"PanelWithManipulatorsBorderAffordanceController","MonoScript",0.000,0.000
"Cursor","MonoScript",0.000,0.000
"Panel","MonoScript",0.000,0.000
"Background","MonoScript",0.000,0.000
"Style","MonoScript",0.000,0.000
"ImageStyle","MonoScript",0.000,0.000
"OverlayCanvasPanel","MonoScript",0.000,0.000
"Toggle","MonoScript",0.000,0.000
"Switch","MonoScript",0.000,0.000
"PointerHandler","MonoScript",0.000,0.000
"Interface","MonoScript",0.000,0.000
"ButtonWithIcon","MonoScript",0.000,0.000
"TextArea","MonoScript",0.000,0.000
"Label","MonoScript",0.000,0.000
"ScrollView","MonoScript",0.000,0.000
"DropdownMenuItem","MonoScript",0.000,0.000
"OVRCameraRig","GameObject",0.000,0.000
"ShaderConfig","MonoScript",0.000,0.000
"UnityOnTransformChildrenChangedMListener","MonoScript",0.000,0.000
"SpatialAnchorLocalStorageManagerBuildingBlock","MonoScript",0.000,0.000
"fsOption","MonoScript",0.000,0.000
"fsVersionManager","MonoScript",0.000,0.000
"fsTypeExtensions","MonoScript",0.000,0.000
"fsPortableReflection","MonoScript",0.000,0.000
"fsVersionedType","MonoScript",0.000,0.000
"fsCyclicReferenceManager","MonoScript",0.000,0.000
"ShaderTypes","MonoScript",0.000,0.000
"Deprecated","MonoScript",0.000,0.000
"AudioPlayerLipSyncContext","MonoScript",0.000,0.000
"UnityOnScrollRectValueChangedMessageListener","MonoScript",0.000,0.000
"LocomotionTutorialAnimationUnityEventWrapper","MonoScript",0.000,0.000
"OvrLipSyncEngine","MonoScript",0.000,0.000
"UnityOnInputFieldValueChangedMessageListener","MonoScript",0.000,0.000
"UnityOnTransformParentChangedMListener","MonoScript",0.000,0.000
"LipSyncContextBase","MonoScript",0.000,0.000
"UnityOnScrollbarValueChangedMessageListener","MonoScript",0.000,0.000
"GenerateTestsForBurstCompatibilityAttribute","MonoScript",0.000,0.000
"VoiceCommand","MonoScript",0.000,0.000
"Il2CppEagerStaticClassConstructionAttribute","MonoScript",0.000,0.000
"ARTrackablesParentTransformChangedEventArgs","MonoScript",0.000,0.000
"UnityOnControllerColliderHitMessageListener","MonoScript",0.000,0.000
"Light2DLookupTexture","MonoScript",0.000,0.000
"LightUtility","MonoScript",0.000,0.000
"Light2DBlendStyle","MonoScript",0.000,0.000
"IRenderPass2D","MonoScript",0.000,0.000
"ShadowUtility","MonoScript",0.000,0.000
"ShadowShapeProvider2D_Utility","MonoScript",0.000,0.000
"DrawRenderer2DPass","MonoScript",0.000,0.000
"ShadowCasterGroup2D","MonoScript",0.000,0.000
"Light2DManager","MonoScript",0.000,0.000
"InputSystemProvider","MonoScript",0.000,0.000
"PixelPerfectBackgroundPass","MonoScript",0.000,0.000
"ShadowRendering","MonoScript",0.000,0.000
"ShadowShape2DProvider","MonoScript",0.000,0.000
"PixelPerfectCamera","MonoScript",0.000,0.000
"DualShockGamepadHID","MonoScript",0.000,0.000
"LightBatch","MonoScript",0.000,0.000
"Render2DLightingPass","MonoScript",0.000,0.000
"DrawNormal2DPass","MonoScript",0.000,0.000
"PixelPerfectCameraInternal","MonoScript",0.000,0.000
"EdgeDictionary","MonoScript",0.000,0.000
"ShadowCasterGroup2DManager","MonoScript",0.000,0.000
